x,phi
  0.000000000000000E+00,   1.000000000000000E+00
  1.000000014901161E-01,   9.124477505683899E-01
  2.000000029802322E-01,   8.325298428535461E-01
  3.000000119209290E-01,   7.595192193984985E-01
  4.000000059604645E-01,   6.926360130310059E-01
  5.000000000000000E-01,   6.308217048645020E-01
  6.000000238418579E-01,   5.720774531364441E-01
  6.999999880790710E-01,   5.115017294883728E-01
  8.000000119209290E-01,   4.354530572891235E-01
  9.000000357627869E-01,   3.041697144508362E-01
  1.000000000000000E+00,  -0.000000000000000E+00
