x,phi
  0.000000000000000E+00,   1.000000000000000E+00
  1.000000000000000E-01,   9.153587851425763E-01
  2.000000000000000E-01,   8.376122339419866E-01
  3.000000000000000E-01,   7.658803549350058E-01
  4.000000000000000E-01,   6.990046324145448E-01
  5.000000000000000E-01,   6.351536506150770E-01
  6.000000000000001E-01,   5.709670520776492E-01
  7.000000000000001E-01,   4.996905602105584E-01
  8.000000000000000E-01,   4.071066324974325E-01
  9.000000000000000E-01,   2.626494403209242E-01
  1.000000000000000E+00,   0.000000000000000E+00
