x,phi,dPhi/dU_AD,dPhi/dGamma_AD,dPhi/dC_AD
  0.000000000000000E+00,   1.000000000000000E+00,   0.000000000000000E+00,   0.000000000000000E+00,   0.000000000000000E+00
  1.000000000000000E-01,   9.153587851425763E-01,   6.714738250777252E-02,   4.715868060170426E-02,   7.186325056794292E-02
  2.000000000000000E-01,   8.376122339419866E-01,   1.235156709166711E-01,   7.724527329694293E-02,   1.312401982463654E-01
  3.000000000000000E-01,   7.658803549350056E-01,   1.708572636255457E-01,   8.499626408102806E-02,   1.793568900336483E-01
  4.000000000000000E-01,   6.990046324145446E-01,   2.108942963988683E-01,   6.043630719210157E-02,   2.169379271180784E-01
  5.000000000000000E-01,   6.351536506150768E-01,   2.451820690649394E-01,  -1.288738307647481E-02,   2.438933307572919E-01
  6.000000000000001E-01,   5.709670520776490E-01,   2.744248395041078E-01,  -1.574673345416742E-01,   2.586781060499403E-01
  7.000000000000001E-01,   4.996905602105581E-01,   2.961662657954275E-01,  -3.914750376296103E-01,   2.570187620324664E-01
  8.000000000000000E-01,   4.071066324974324E-01,   2.979892530905188E-01,  -6.855635891080948E-01,   2.294328941797093E-01
  9.000000000000000E-01,   2.626494403209241E-01,   2.388502252766277E-01,  -8.235644063420476E-01,   1.564937846424229E-01
  1.000000000000000E+00,   0.000000000000000E+00,   0.000000000000000E+00,   0.000000000000000E+00,   0.000000000000000E+00
